"Source:","C:\Users\Koen\Documents\KiCad\Ventilator\Ventilator\Ventilator.kicad_sch"
"Date:","2/10/2022 9:11:58"
"Tool:","Eeschema (6.0.6)"
"Generator:","D:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","69"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"","","C1","10u","Device:C","","~","","","",""
"","","C2","0.1u","Device:C","Capacitor_THT:C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3","~","","","",""
"","","C3","0.1u","Device:C","Capacitor_THT:C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3","~","","","",""
"","","C4","0.1u","Device:C","Capacitor_THT:C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3","~","","","",""
"","","C5","0.1u","Device:C","Capacitor_THT:C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3","~","","","",""
"","","C6","22u","Device:C","","~","","","",""
"","","C7","100u","Device:C_Polarized","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","",""
"","","C8","100u","Device:C_Polarized","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","",""
"","","C9","100u","Device:C_Polarized","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","",""
"","","C10","100u","Device:C_Polarized","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","",""
"","","D1","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","",""
"","","D2","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","",""
"","","D3","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","",""
"","","D4","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","",""
"","","D5","LED","Device:LED","LED_THT:LED_D3.0mm","~","","","",""
"","","D6","S07M-GS08","Device:D","Diode_SMD:D_SMF","~","","","",""
"","","D7","S07M-GS08","Device:D","Diode_SMD:D_SMF","~","","","",""
"","","D8","S07M-GS08","Device:D","Diode_SMD:D_SMF","~","","","",""
"","","D9","LED","Device:LED","LED_THT:LED_D3.0mm","~","","","",""
"","","D10","LED","Device:LED","LED_THT:LED_D3.0mm","~","","","",""
"","","D11","LED","Device:LED","LED_THT:LED_D3.0mm","~","","","",""
"","","J1","Screw_Terminal_01x08","Connector:Screw_Terminal_01x08","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-8_1x08_P5.00mm_Horizontal","~","","","",""
"","","J2","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","","","",""
"","","J3","Screw_Terminal_01x08","Connector:Screw_Terminal_01x08","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-8_1x08_P5.00mm_Horizontal","~","","","",""
"","","K1","FINDER-40.52.7.012.0000","Relay:FINDER-40.52","Relay_THT:Relay_DPDT_Finder_40.52","http://gfinder.findernet.com/assets/Series/353/S40EN.pdf","","","",""
"","","K2","FINDER-40.52.7.012.0000","Relay:FINDER-40.52","Relay_THT:Relay_DPDT_Finder_40.52","http://gfinder.findernet.com/assets/Series/353/S40EN.pdf","","","",""
"","","K3","FINDER-40.52.7.012.0000","Relay:FINDER-40.52","Relay_THT:Relay_DPDT_Finder_40.52","http://gfinder.findernet.com/assets/Series/353/S40EN.pdf","","","",""
"","","PS1","R-78AA3.3-0.5SMD-R","Power:R-78AA3.3-1.0SMD","R-78AA3.3-1:CONV_R-78AA3.3-1.0SMD","","RECOM","9.24mm","5/2019","Manufacturer Recommendations"
"","","Q1","NUD3160","Transistor_FET:TSM2301ACX","Package_TO_SOT_SMD:SOT-23","https://www.taiwansemi.com/products/datasheet/TSM2301A_C15.pdf","","","",""
"","","Q2","NUD3160","Transistor_FET:TSM2301ACX","Package_TO_SOT_SMD:SOT-23","https://www.taiwansemi.com/products/datasheet/TSM2301A_C15.pdf","","","",""
"","","Q3","NUD3160","Transistor_FET:TSM2301ACX","Package_TO_SOT_SMD:SOT-23","https://www.taiwansemi.com/products/datasheet/TSM2301A_C15.pdf","","","",""
"","","R1","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R2","100R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R3","2k2","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R4","100R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R5","2k2","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R6","100R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R7","2k2","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R8","100R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R9","470k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R10","470k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R11","470k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R12","470k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R13","220R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R14","220R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R15","220R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R16","220R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R17","17k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R18","17k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R19","17k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R20","17k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R21","6R2","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R22","6R2","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R23","6R2","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R24","6R2","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R25","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R26","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R27","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R28","R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R29","R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R30","R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R31","R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R32","R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","SW1","Reset","Switch:SW_Push","Button_Switch_SMD:SW_SPST_EVPBF","~","","","",""
"","","U1","4N25","Isolator:4N25","Package_DIP:DIP-6_W7.62mm","https://www.vishay.com/docs/83725/4n25.pdf","","","",""
"","","U2","4N25","Isolator:4N25","Package_DIP:DIP-6_W7.62mm","https://www.vishay.com/docs/83725/4n25.pdf","","","",""
"","","U3","4N25","Isolator:4N25","Package_DIP:DIP-6_W7.62mm","https://www.vishay.com/docs/83725/4n25.pdf","","","",""
"","","U4","4N25","Isolator:4N25","Package_DIP:DIP-6_W7.62mm","https://www.vishay.com/docs/83725/4n25.pdf","","","",""
"","","U5","Pico","MCU_RaspberryPi_and_Boards:Pico","RPi_Pico:RPi_Pico_SMD_TH","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"1","1","C1","10u","Device:C","","~","","","",""
"2","4","C2, C3, C4, C5","0.1u","Device:C","Capacitor_THT:C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3","~","","","",""
"3","1","C6","22u","Device:C","","~","","","",""
"4","4","C7, C8, C9, C10","100u","Device:C_Polarized","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","",""
"5","4","D1, D2, D3, D4","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","",""
"6","4","D5, D9, D10, D11","LED","Device:LED","LED_THT:LED_D3.0mm","~","","","",""
"7","3","D6, D7, D8","S07M-GS08","Device:D","Diode_SMD:D_SMF","~","","","",""
"8","2","J1, J3","Screw_Terminal_01x08","Connector:Screw_Terminal_01x08","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-8_1x08_P5.00mm_Horizontal","~","","","",""
"9","1","J2","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","","","",""
"10","3","K1, K2, K3","FINDER-40.52.7.012.0000","Relay:FINDER-40.52","Relay_THT:Relay_DPDT_Finder_40.52","http://gfinder.findernet.com/assets/Series/353/S40EN.pdf","","","",""
"11","1","PS1","R-78AA3.3-0.5SMD-R","Power:R-78AA3.3-1.0SMD","R-78AA3.3-1:CONV_R-78AA3.3-1.0SMD","","RECOM","9.24mm","5/2019","Manufacturer Recommendations"
"12","3","Q1, Q2, Q3","NUD3160","Transistor_FET:TSM2301ACX","Package_TO_SOT_SMD:SOT-23","https://www.taiwansemi.com/products/datasheet/TSM2301A_C15.pdf","","","",""
"13","1","R1","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"14","4","R2, R4, R6, R8","100R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"15","3","R3, R5, R7","2k2","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"16","4","R9, R10, R11, R12","470k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"17","4","R13, R14, R15, R16","220R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"18","4","R17, R18, R19, R20","17k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"19","4","R21, R22, R23, R24","6R2","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"20","3","R25, R26, R27","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"21","5","R28, R29, R30, R31, R32","R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"22","1","SW1","Reset","Switch:SW_Push","Button_Switch_SMD:SW_SPST_EVPBF","~","","","",""
"23","4","U1, U2, U3, U4","4N25","Isolator:4N25","Package_DIP:DIP-6_W7.62mm","https://www.vishay.com/docs/83725/4n25.pdf","","","",""
"24","1","U5","Pico","MCU_RaspberryPi_and_Boards:Pico","RPi_Pico:RPi_Pico_SMD_TH","","","","",""
